model_name,term,coefficient,standard_error,z_value,p_value,ci_lower,ci_upper,odds_ratio,odds_ratio_ci_lower,odds_ratio_ci_upper,stars,direction,N,pseudo_R2_McFadden,log_likelihood
H2 Headline Binary Logit,Intercept,0.32247455798482116,0.1425948307783872,2.26147439023223,0.023729896800649065,0.04299382527759865,0.6019552906920437,1.380539766699061,1.0439314488438087,1.8256850577193926,*,+,12203,0.09517086023534171,-6245.851579460513
H2 Headline Binary Logit,C(industry)[T.2],-0.17937254251184023,0.11872018823080306,-1.5108849234902102,0.13081777270268563,-0.4120598356820302,0.05331475065834976,0.8357944724186059,0.6622846466129786,1.0547615797799268,,-,12203,0.09517086023534171,-6245.851579460513
H2 Headline Binary Logit,C(industry)[T.3],-0.34931788852314555,0.17807986747431792,-1.9615798993871274,0.04981141436577437,-0.6983480151444745,-0.00028776190181661887,0.7051689295268454,0.49740633317007976,0.9997122794976683,*,-,12203,0.09517086023534171,-6245.851579460513
H2 Headline Binary Logit,C(industry)[T.4],-0.39742789500428755,0.12492909356248107,-3.1812277162286544,0.0014665230667477312,-0.6422844190079852,-0.15257137100058993,0.6720463988033067,0.5260892420159852,0.8584976199356877,**,-,12203,0.09517086023534171,-6245.851579460513
H2 Headline Binary Logit,C(industry)[T.5],-0.41118220313237686,0.12973438216317684,-3.1694158192791297,0.0015274569747582745,-0.665456919728759,-0.15690748653599468,0.6628661443093103,0.514038599661561,0.8547831341085739,**,-,12203,0.09517086023534171,-6245.851579460513
H2 Headline Binary Logit,C(industry)[T.6],1.006422033523474,0.16945361143600587,5.939218556599185,2.863838646871486e-09,0.6742990580586579,1.33854500898829,2.735794900063914,1.9626567852540526,3.8134908718881757,***,+,12203,0.09517086023534171,-6245.851579460513
H2 Headline Binary Logit,C(industry)[T.7],-0.36296731954978895,0.15510080367755313,-2.3402027000735597,0.01927327632901891,-0.6669593087310106,-0.058975330368567225,0.6956091659483539,0.5132668935692257,0.9427300256725077,*,-,12203,0.09517086023534171,-6245.851579460513
H2 Headline Binary Logit,C(industry)[T.8],0.5599780390316436,0.16810285846538325,3.3311630994481725,0.0008648391452234325,0.23050249074125823,0.8894535873220288,1.7506340542548773,1.2592326037043617,2.4337994290341554,***,+,12203,0.09517086023534171,-6245.851579460513
H2 Headline Binary Logit,C(industry)[T.9],-0.3968362998911967,0.16614867929463084,-2.388440892674737,0.016920029785510955,-0.722481727387569,-0.07119087239482441,0.6724440957948085,0.4855457672626436,0.9312841187321106,*,-,12203,0.09517086023534171,-6245.851579460513
H2 Headline Binary Logit,C(industry)[T.10],-0.5383699245807844,0.1673000440287415,-3.217990334110698,0.001290921681213635,-0.866271985489083,-0.2104678636724857,0.5836989506201845,0.4205163216374142,0.8102050917511674,**,-,12203,0.09517086023534171,-6245.851579460513
H2 Headline Binary Logit,C(industry)[T.11],0.7963880369240711,0.16369287373599406,4.8651356576981835,1.1437832868060733e-06,0.4755558998756602,1.117220173972482,2.217516856883656,1.6089083408823004,3.0563462725704764,***,+,12203,0.09517086023534171,-6245.851579460513
H2 Headline Binary Logit,C(industry)[T.12],-0.7667677878260168,0.13241305759959807,-5.790726396067636,7.008266140902727e-09,-1.0262926118040567,-0.507242963847977,0.4645120459892775,0.35833298047709333,0.6021534511890623,***,-,12203,0.09517086023534171,-6245.851579460513
H2 Headline Binary Logit,C(industry)[T.13],-0.07017988670129187,0.20315252476737572,-0.3454541693816156,0.7297529594054214,-0.4683515186137296,0.3279917452111458,0.9322261097422467,0.6260334225741568,1.388177513129853,,-,12203,0.09517086023534171,-6245.851579460513
H2 Headline Binary Logit,C(industry)[T.14],0.6861969672795505,0.16449511315799928,4.171534060227376,3.0255582064523693e-05,0.3637924698570311,1.0086014647020698,1.986147767186941,1.4387755938680666,2.741763878893959,***,+,12203,0.09517086023534171,-6245.851579460513
H2 Headline Binary Logit,C(industry)[T.15],1.1588482604023318,0.2147678293606597,5.39581865613717,6.821181446372492e-08,0.7379110498175948,1.5797854709870687,3.1862614185659255,2.091561779466821,4.853914394070516,***,+,12203,0.09517086023534171,-6245.851579460513
H2 Headline Binary Logit,C(industry)[T.16],-0.2686036162542116,0.17600527208727262,-1.5261111958113611,0.12698217429605807,-0.6135676106344388,0.07636037812601565,0.7644462096532467,0.5414158584703386,1.079351478739943,,-,12203,0.09517086023534171,-6245.851579460513
H2 Headline Binary Logit,C(region)[T.2],-0.274833163715419,0.11061940954781453,-2.484493135868928,0.01297360092938601,-0.4916432224202216,-0.05802310501061633,0.7596988579875631,0.6116205394061667,0.9436281446466227,*,-,12203,0.09517086023534171,-6245.851579460513
H2 Headline Binary Logit,C(region)[T.3],-0.48066776911442094,0.1315500767351766,-3.6538767672637165,0.0002583102818264791,-0.7385011816788476,-0.22283435654999434,0.6183703253004529,0.4778295587745322,0.8002473940558748,***,-,12203,0.09517086023534171,-6245.851579460513
