year,weight,industry,industry_size,firm_size,it_org_any,it_org_internal,it_org_mixed,it_org_outsource,it_org_type,it_invest_share_std4,it_invest_share_pct,ai_use,proc_improve,innov_outcome,decision_improve,weight_raw,industry_raw,industry_size_raw,firm_size_raw,it_org_any_raw,it_org_internal_raw,it_org_mixed_raw,it_org_outsource_raw,it_invest_share_raw,it_invest_share_cat_raw,ai_use_raw,proc_improve_raw,decision_improve_raw,innov_outcome_raw
2022,6.318961177,1,11,1,1,0,1,0,2,1,1.0,0,4,4,3,6.318961177,1,11,1,1,0,1,0,1,1,2,4,3,4
2022,6.318961177,1,11,1,1,0,1,0,2,1,1.0,0,3,3,3,6.318961177,1,11,1,1,0,1,0,1,1,3,3,3,3
2022,4.812244744,1,11,1,1,0,1,0,2,1,1.0,0,4,4,3,4.812244744,1,11,1,1,0,1,0,1,1,2,4,3,4
2022,6.318961177,1,11,1,1,0,1,0,2,1,1.0,0,4,3,3,6.318961177,1,11,1,1,0,1,0,1,1,3,4,3,3
2022,6.318961177,1,11,1,1,0,1,0,2,1,1.0,0,3,3,3,6.318961177,1,11,1,1,0,1,0,1,1,3,3,3,3
2022,4.812244744,1,11,1,1,0,1,0,2,1,1.0,0,4,4,3,4.812244744,1,11,1,1,0,1,0,1,1,2,4,3,4
2022,4.812244744,1,11,1,1,0,1,0,2,1,1.0,0,3,3,4,4.812244744,1,11,1,1,0,1,0,1,1,2,3,4,3
2022,4.687283351,1,11,1,1,0,1,0,2,1,1.0,0,4,2,3,4.687283351,1,11,1,1,0,1,0,1,1,2,4,3,2
2022,4.687283351,1,11,1,0,0,0,0,0,1,1.0,0,3,3,3,4.687283351,1,11,1,2,,,,1,1,2,3,3,3
2022,4.687283351,1,11,1,1,0,1,0,2,1,1.0,0,2,3,3,4.687283351,1,11,1,1,0,1,0,1,1,2,2,3,3
2022,4.687283351,1,11,1,1,0,1,0,2,1,1.0,0,3,4,3,4.687283351,1,11,1,1,0,1,0,1,1,2,3,3,4
2022,6.274176123,1,11,1,0,0,0,0,0,1,1.0,0,5,4,4,6.274176123,1,11,1,2,,,,1,1,2,5,4,4
2022,4.778138404,1,11,1,1,0,1,0,2,1,1.0,0,4,3,4,4.778138404,1,11,1,1,0,1,0,1,1,2,4,4,3
2022,4.778138404,1,11,1,1,0,1,0,2,1,1.0,0,5,3,4,4.778138404,1,11,1,1,0,1,0,1,1,2,5,4,3
2022,5.396714735,1,11,1,0,0,0,0,0,1,1.0,0,4,3,5,5.396714735,1,11,1,2,,,,1,1,2,4,5,3
2022,4.94316756,1,11,1,1,0,1,0,2,1,1.0,0,3,4,4,4.94316756,1,11,1,1,0,1,0,1,1,2,3,4,4
2022,4.94316756,1,11,1,1,0,1,0,2,1,1.0,0,3,3,3,4.94316756,1,11,1,1,0,1,0,1,1,3,3,3,3
2022,4.94316756,1,11,1,0,0,0,0,0,1,1.0,0,3,2,3,4.94316756,1,11,1,2,,,,1,1,2,3,3,2
2022,4.94316756,1,11,1,0,0,0,0,0,1,1.0,0,3,3,3,4.94316756,1,11,1,2,,,,1,1,2,3,3,3
2022,4.94316756,1,11,1,0,0,0,0,0,1,1.0,0,1,1,1,4.94316756,1,11,1,2,,,,1,1,2,1,1,1
2022,4.94316756,1,11,1,1,0,0,1,3,1,1.0,0,3,3,3,4.94316756,1,11,1,1,0,0,1,1,1,2,3,3,3
2022,6.490875997,1,11,1,1,1,0,1,4,1,1.0,1,2,3,3,6.490875997,1,11,1,1,1,0,1,1,1,1,2,3,3
2022,4.94316756,1,11,1,1,0,1,0,2,1,1.0,0,2,3,3,4.94316756,1,11,1,1,0,1,0,1,1,2,2,3,3
2022,4.94316756,1,11,1,1,0,1,0,2,1,1.0,0,2,3,3,4.94316756,1,11,1,1,0,1,0,1,1,2,2,3,3
2022,4.94316756,1,11,1,1,0,0,1,3,1,1.0,0,2,2,2,4.94316756,1,11,1,1,0,0,1,1,1,2,2,2,2
2022,4.94316756,1,11,1,1,0,1,0,2,2,2.0,0,2,2,2,4.94316756,1,11,1,1,0,1,0,2,2,2,2,2,2
2022,4.94316756,1,11,1,1,0,1,0,2,1,1.0,0,3,3,2,4.94316756,1,11,1,1,0,1,0,1,1,2,3,2,3
2022,4.94316756,1,11,1,1,0,0,1,3,1,1.0,0,3,3,3,4.94316756,1,11,1,1,0,0,1,1,1,2,3,3,3
2022,6.490875997,1,11,1,1,0,1,0,2,1,1.0,0,3,3,3,6.490875997,1,11,1,1,0,1,0,1,1,2,3,3,3
2022,4.94316756,1,11,1,1,0,1,0,2,1,1.0,0,2,3,3,4.94316756,1,11,1,1,0,1,0,1,1,2,2,3,3
2022,4.94316756,1,11,1,1,0,0,1,3,1,1.0,0,3,3,3,4.94316756,1,11,1,1,0,0,1,1,1,2,3,3,3
2022,4.94316756,1,11,1,1,0,1,0,2,1,1.0,0,3,3,3,4.94316756,1,11,1,1,0,1,0,1,1,3,3,3,3
2022,4.94316756,1,11,1,1,0,1,0,2,1,1.0,0,2,3,3,4.94316756,1,11,1,1,0,1,0,1,1,3,2,3,3
2022,4.94316756,1,11,1,1,0,1,0,2,1,1.0,0,4,3,3,4.94316756,1,11,1,1,0,1,0,1,1,3,4,3,3
2022,4.94316756,1,11,1,1,0,1,0,2,1,1.0,0,4,3,4,4.94316756,1,11,1,1,0,1,0,1,1,2,4,4,3
2022,4.94316756,1,11,1,1,0,1,0,2,1,1.0,0,4,3,4,4.94316756,1,11,1,1,0,1,0,1,1,2,4,4,3
2022,4.94316756,1,11,1,1,0,0,1,3,1,1.0,0,5,3,4,4.94316756,1,11,1,1,0,0,1,1,1,2,5,4,3
2022,4.94316756,1,11,1,1,0,1,0,2,1,1.0,0,4,4,4,4.94316756,1,11,1,1,0,1,0,1,1,2,4,4,4
2022,4.94316756,1,11,1,1,0,1,0,2,1,1.0,0,3,3,3,4.94316756,1,11,1,1,0,1,0,1,1,3,3,3,3
2022,4.94316756,1,11,1,1,0,1,0,2,1,1.0,0,2,3,3,4.94316756,1,11,1,1,0,1,0,1,1,2,2,3,3
2022,4.94316756,1,11,1,1,0,1,0,2,1,1.0,0,3,3,3,4.94316756,1,11,1,1,0,1,0,1,1,2,3,3,3
2022,4.94316756,1,11,1,1,0,1,0,2,1,1.0,0,2,2,3,4.94316756,1,11,1,1,0,1,0,1,1,2,2,3,2
2022,4.767987227,1,11,1,1,0,0,1,3,1,1.0,0,5,5,5,4.767987227,1,11,1,1,0,0,1,1,1,2,5,5,5
2022,4.767987227,1,11,1,0,0,0,0,0,1,1.0,0,2,2,2,4.767987227,1,11,1,2,,,,1,1,2,2,2,2
2022,4.767987227,1,11,1,1,0,0,1,3,1,1.0,0,2,2,2,4.767987227,1,11,1,1,0,0,1,1,1,2,2,2,2
2022,4.767987227,1,11,1,0,0,0,0,0,1,1.0,0,4,2,4,4.767987227,1,11,1,2,,,,1,1,2,4,4,2
2022,4.767987227,1,11,1,0,0,0,0,0,1,1.0,0,2,2,2,4.767987227,1,11,1,2,,,,1,1,3,2,2,2
2022,4.767987227,1,11,1,0,0,0,0,0,1,1.0,0,5,2,5,4.767987227,1,11,1,2,,,,1,1,3,5,5,2
2022,4.767987227,1,11,1,0,0,0,0,0,1,1.0,0,5,3,5,4.767987227,1,11,1,2,,,,1,1,2,5,5,3
2022,4.767987227,1,11,1,0,0,0,0,0,1,1.0,0,4,3,3,4.767987227,1,11,1,2,,,,1,1,3,4,3,3
2022,6.260846607,1,11,1,0,0,0,0,0,1,1.0,0,3,1,3,6.260846607,1,11,1,2,,,,1,1,2,3,3,1
2022,4.767987227,1,11,1,1,0,0,1,3,1,1.0,0,1,1,1,4.767987227,1,11,1,1,0,0,1,1,1,2,1,1,1
2022,4.767987227,1,11,1,0,0,0,0,0,1,1.0,0,4,3,4,4.767987227,1,11,1,2,,,,1,1,2,4,4,3
2022,4.767987227,1,11,1,1,0,0,1,3,1,1.0,0,1,1,1,4.767987227,1,11,1,1,0,0,1,1,1,2,1,1,1
2022,4.767987227,1,11,1,0,0,0,0,0,1,1.0,0,3,3,3,4.767987227,1,11,1,2,,,,1,1,2,3,3,3
2022,4.767987227,1,11,1,0,0,0,0,0,1,1.0,0,4,2,4,4.767987227,1,11,1,2,,,,1,1,3,4,4,2
2022,4.767987227,1,11,1,0,0,0,0,0,1,1.0,0,4,2,4,4.767987227,1,11,1,2,,,,1,1,2,4,4,2
2022,4.767987227,1,11,1,0,0,0,0,0,1,1.0,0,4,3,3,4.767987227,1,11,1,2,,,,1,1,2,4,3,3
2022,4.767987227,1,11,1,0,0,0,0,0,1,1.0,0,3,3,3,4.767987227,1,11,1,2,,,,1,1,2,3,3,3
2022,4.930254637,1,11,1,0,0,0,0,0,1,1.0,0,4,3,3,4.930254637,1,11,1,2,,,,1,1,2,4,3,3
2022,4.930254637,1,11,1,1,0,0,1,3,2,3.0,0,5,3,4,4.930254637,1,11,1,1,0,0,1,3,2,2,5,4,3
2022,4.930254637,1,11,1,0,0,0,0,0,1,1.0,0,3,3,4,4.930254637,1,11,1,2,,,,1,1,2,3,4,3
2022,4.930254637,1,11,1,0,0,0,0,0,1,1.0,0,4,3,3,4.930254637,1,11,1,2,,,,1,1,2,4,3,3
2022,4.930254637,1,11,1,0,0,0,0,0,2,3.0,0,5,4,5,4.930254637,1,11,1,2,,,,3,2,3,5,5,4
2022,4.930254637,1,11,1,0,0,0,0,0,1,1.0,0,5,4,4,4.930254637,1,11,1,2,,,,1,1,2,5,4,4
2022,4.930254637,1,11,1,0,0,0,0,0,1,1.0,0,5,5,4,4.930254637,1,11,1,2,,,,1,1,2,5,4,5
2022,4.930254637,1,11,1,0,0,0,0,0,1,1.0,0,4,4,4,4.930254637,1,11,1,2,,,,1,1,2,4,4,4
2022,4.930254637,1,11,1,0,0,0,0,0,1,1.0,0,5,4,5,4.930254637,1,11,1,2,,,,1,1,2,5,5,4
2022,4.930254637,1,11,1,0,0,0,0,0,1,1.0,0,3,3,4,4.930254637,1,11,1,2,,,,1,1,2,3,4,3
2022,4.930254637,1,11,1,0,0,0,0,0,3,5.0,0,5,4,4,4.930254637,1,11,1,2,,,,5,3,2,5,4,4
2022,6.473920031,1,11,1,0,0,0,0,0,1,1.0,0,5,3,4,6.473920031,1,11,1,2,,,,1,1,2,5,4,3
2022,4.930254637,1,11,1,0,0,0,0,0,1,1.0,0,3,3,4,4.930254637,1,11,1,2,,,,1,1,2,3,4,3
2022,4.930254637,1,11,1,0,0,0,0,0,1,1.0,0,5,4,4,4.930254637,1,11,1,2,,,,1,1,3,5,4,4
2022,4.930254637,1,11,1,0,0,0,0,0,1,1.0,0,5,4,4,4.930254637,1,11,1,2,,,,1,1,2,5,4,4
2022,4.930254637,1,11,1,0,0,0,0,0,1,1.0,0,5,5,3,4.930254637,1,11,1,2,,,,1,1,2,5,3,5
2022,4.930254637,1,11,1,0,0,0,0,0,1,1.0,0,5,4,4,4.930254637,1,11,1,2,,,,1,1,2,5,4,4
2022,4.930254637,1,11,1,0,0,0,0,0,1,1.0,0,5,3,4,4.930254637,1,11,1,2,,,,1,1,2,5,4,3
2022,6.832724555,1,11,1,0,0,0,0,0,3,5.0,0,5,4,4,6.832724555,1,11,1,2,,,,5,3,2,5,4,4
2022,5.203504485,1,11,1,1,0,0,1,3,1,1.0,0,5,5,5,5.203504485,1,11,1,1,0,0,1,1,1,2,5,5,5
2022,5.203504485,1,11,1,0,0,0,0,0,1,1.0,0,4,3,3,5.203504485,1,11,1,2,,,,1,1,2,4,3,3
2022,5.203504485,1,11,1,0,0,0,0,0,1,1.0,0,4,4,4,5.203504485,1,11,1,2,,,,1,1,2,4,4,4
2022,5.203504485,1,11,1,0,0,0,0,0,1,1.0,0,5,4,5,5.203504485,1,11,1,2,,,,1,1,2,5,5,4
2022,5.203504485,1,11,1,0,0,0,0,0,1,1.0,0,4,4,3,5.203504485,1,11,1,2,,,,1,1,2,4,3,4
2022,6.832724555,1,11,1,0,0,0,0,0,1,1.0,0,5,4,4,6.832724555,1,11,1,2,,,,1,1,2,5,4,4
2022,5.203504485,1,11,1,0,0,0,0,0,1,1.0,0,5,4,5,5.203504485,1,11,1,2,,,,1,1,3,5,5,4
2022,5.203504485,1,11,1,0,0,0,0,0,1,1.0,0,5,4,4,5.203504485,1,11,1,2,,,,1,1,2,5,4,4
2022,6.832724555,1,11,1,0,0,0,0,0,1,1.0,0,3,2,3,6.832724555,1,11,1,2,,,,1,1,2,3,3,2
2022,6.832724555,1,11,1,0,0,0,0,0,1,1.0,0,5,4,4,6.832724555,1,11,1,2,,,,1,1,2,5,4,4
2022,5.203504485,1,11,1,0,0,0,0,0,1,1.0,0,4,3,3,5.203504485,1,11,1,2,,,,1,1,2,4,3,3
2022,5.203504485,1,11,1,0,0,0,0,0,1,1.0,0,5,4,4,5.203504485,1,11,1,2,,,,1,1,2,5,4,4
2022,6.832724555,1,11,1,0,0,0,0,0,1,1.0,0,5,4,4,6.832724555,1,11,1,2,,,,1,1,2,5,4,4
2022,5.203504485,1,11,1,0,0,0,0,0,1,1.0,0,4,3,3,5.203504485,1,11,1,2,,,,1,1,2,4,3,3
2022,5.203504485,1,11,1,0,0,0,0,0,1,1.0,0,5,3,3,5.203504485,1,11,1,2,,,,1,1,2,5,3,3
2022,5.203504485,1,11,1,0,0,0,0,0,1,1.0,0,4,4,5,5.203504485,1,11,1,2,,,,1,1,2,4,5,4
2022,5.203504485,1,11,1,1,0,1,0,2,1,1.0,0,5,3,4,5.203504485,1,11,1,1,0,1,0,1,1,2,5,4,3
2022,5.203504485,1,11,1,0,0,0,0,0,1,1.0,0,5,4,4,5.203504485,1,11,1,2,,,,1,1,2,5,4,4
2022,5.203504485,1,11,1,0,0,0,0,0,1,1.0,0,3,2,3,5.203504485,1,11,1,2,,,,1,1,2,3,3,2
2022,5.203504485,1,11,1,0,0,0,0,0,1,1.0,0,4,3,4,5.203504485,1,11,1,2,,,,1,1,2,4,4,3
2022,5.203504485,1,11,1,0,0,0,0,0,1,1.0,0,4,3,4,5.203504485,1,11,1,2,,,,1,1,2,4,4,3
2022,5.203504485,1,11,1,0,0,0,0,0,1,1.0,0,5,3,4,5.203504485,1,11,1,2,,,,1,1,2,5,4,3
2022,5.203504485,1,11,1,0,0,0,0,0,1,1.0,0,3,3,4,5.203504485,1,11,1,2,,,,1,1,2,3,4,3
2022,4.995555697,1,11,1,1,0,1,0,2,3,5.0,0,4,3,3,4.995555697,1,11,1,1,0,1,0,5,3,2,4,3,3
2022,4.995555697,1,11,1,1,0,1,0,2,4,10.0,0,4,3,3,4.995555697,1,11,1,1,0,1,0,10,4,3,4,3,3
2022,6.559666888,1,11,1,0,0,0,0,0,3,5.0,0,4,3,2,6.559666888,1,11,1,2,,,,5,3,2,4,2,3
2022,6.559666888,1,11,1,0,0,0,0,0,4,10.0,0,4,2,2,6.559666888,1,11,1,2,,,,10,4,3,4,2,2
2022,4.995555697,1,11,1,1,0,1,0,2,3,5.0,0,4,2,2,4.995555697,1,11,1,1,0,1,0,5,3,2,4,2,2
2022,6.559666888,1,11,1,0,0,0,0,0,3,5.0,0,4,3,3,6.559666888,1,11,1,2,,,,5,3,3,4,3,3
2022,4.995555697,1,11,1,1,0,0,1,3,4,10.0,0,4,4,3,4.995555697,1,11,1,1,0,0,1,10,4,2,4,3,4
2022,4.995555697,1,11,1,0,0,0,0,0,3,5.0,0,4,4,3,4.995555697,1,11,1,2,,,,5,3,3,4,3,4
2022,6.559666888,1,11,1,0,0,0,0,0,3,5.0,0,4,3,4,6.559666888,1,11,1,2,,,,5,3,2,4,4,3
2022,4.995555697,1,11,1,1,0,0,1,3,4,10.0,0,4,4,4,4.995555697,1,11,1,1,0,0,1,10,4,2,4,4,4
2022,4.995555697,1,11,1,0,0,0,0,0,3,5.0,0,4,4,3,4.995555697,1,11,1,2,,,,5,3,3,4,3,4
2022,4.995555697,1,11,1,0,0,0,0,0,3,5.0,0,4,4,4,4.995555697,1,11,1,2,,,,5,3,3,4,4,4
2022,6.559666888,1,11,1,0,0,0,0,0,3,5.0,0,4,4,3,6.559666888,1,11,1,2,,,,5,3,3,4,3,4
2022,4.995555697,1,11,1,0,0,0,0,0,3,5.0,0,4,3,4,4.995555697,1,11,1,2,,,,5,3,3,4,4,3
2022,4.995555697,1,11,1,1,0,1,0,2,3,5.0,1,4,5,4,4.995555697,1,11,1,1,0,1,0,5,3,1,4,4,5
2022,6.347494687,1,11,1,0,0,0,0,0,1,1.0,0,2,3,3,6.347494687,1,11,1,2,,,,1,1,3,2,3,3
2022,6.347494687,1,11,1,0,0,0,0,0,2,2.0,0,4,4,4,6.347494687,1,11,1,2,,,,2,2,2,4,4,4
2022,4.833974618,1,11,1,0,0,0,0,0,1,1.0,0,4,3,4,4.833974618,1,11,1,2,,,,1,1,2,4,4,3
2022,6.347494687,1,11,1,0,0,0,0,0,1,1.0,0,4,3,3,6.347494687,1,11,1,2,,,,1,1,3,4,3,3
2022,6.347494687,1,11,1,0,0,0,0,0,1,1.0,0,4,4,4,6.347494687,1,11,1,2,,,,1,1,2,4,4,4
2022,4.833974618,1,11,1,0,0,0,0,0,1,1.0,0,4,4,4,4.833974618,1,11,1,2,,,,1,1,3,4,4,4
2022,4.833974618,1,11,1,0,0,0,0,0,2,2.0,0,4,4,4,4.833974618,1,11,1,2,,,,2,2,2,4,4,4
2022,6.347494687,1,11,1,0,0,0,0,0,2,3.0,0,4,5,4,6.347494687,1,11,1,2,,,,3,2,2,4,4,5
2022,4.833974618,1,11,1,0,0,0,0,0,1,1.0,0,4,4,4,4.833974618,1,11,1,2,,,,1,1,2,4,4,4
2022,4.833974618,1,11,1,0,0,0,0,0,1,1.0,0,3,4,4,4.833974618,1,11,1,2,,,,1,1,2,3,4,4
2022,4.833974618,1,11,1,1,0,1,0,2,1,1.0,0,4,4,4,4.833974618,1,11,1,1,0,1,0,1,1,3,4,4,4
2022,6.347494687,1,11,1,0,0,0,0,0,1,1.0,0,4,4,4,6.347494687,1,11,1,2,,,,1,1,3,4,4,4
2022,6.347494687,1,11,1,0,0,0,0,0,2,3.0,0,4,5,5,6.347494687,1,11,1,2,,,,3,2,2,4,5,5
2022,6.347494687,1,11,1,0,0,0,0,0,1,1.0,0,3,3,3,6.347494687,1,11,1,2,,,,1,1,3,3,3,3
2022,6.347494687,1,11,1,0,0,0,0,0,1,1.0,0,4,4,4,6.347494687,1,11,1,2,,,,1,1,3,4,4,4
2022,6.347494687,1,11,1,0,0,0,0,0,1,1.0,0,3,3,2,6.347494687,1,11,1,2,,,,1,1,3,3,2,3
2022,4.833974618,1,11,1,0,0,0,0,0,1,1.0,0,4,4,4,4.833974618,1,11,1,2,,,,1,1,3,4,4,4
2022,4.833974618,1,11,1,0,0,0,0,0,1,1.0,0,3,4,3,4.833974618,1,11,1,2,,,,1,1,2,3,3,4
2022,4.833974618,1,11,1,0,0,0,0,0,1,1.0,0,3,4,4,4.833974618,1,11,1,2,,,,1,1,2,3,4,4
2022,4.833974618,1,11,1,1,0,1,0,2,2,2.0,0,3,4,3,4.833974618,1,11,1,1,0,1,0,2,2,3,3,3,4
2022,4.833974618,1,11,1,0,0,0,0,0,1,1.0,0,3,4,4,4.833974618,1,11,1,2,,,,1,1,3,3,4,4
2022,4.833974618,1,11,1,0,0,0,0,0,2,2.0,0,4,4,4,4.833974618,1,11,1,2,,,,2,2,2,4,4,4
2022,4.833974618,1,11,1,1,0,1,0,2,1,1.0,0,3,4,5,4.833974618,1,11,1,1,0,1,0,1,1,2,3,5,4
2022,4.833974618,1,11,1,1,0,1,0,2,1,1.0,0,3,4,4,4.833974618,1,11,1,1,0,1,0,1,1,2,3,4,4
2022,4.833974618,1,11,1,1,0,1,0,2,2,3.0,1,4,5,4,4.833974618,1,11,1,1,0,1,0,3,2,1,4,4,5
2022,4.833974618,1,11,1,1,0,1,0,2,1,1.0,0,3,4,4,4.833974618,1,11,1,1,0,1,0,1,1,2,3,4,4
2022,6.347494687,1,11,1,0,0,0,0,0,1,1.0,0,3,3,3,6.347494687,1,11,1,2,,,,1,1,3,3,3,3
2022,4.833974618,1,11,1,0,0,0,0,0,2,2.0,0,4,3,4,4.833974618,1,11,1,2,,,,2,2,2,4,4,3
2022,4.833974618,1,11,1,0,0,0,0,0,1,1.0,0,4,5,5,4.833974618,1,11,1,2,,,,1,1,3,4,5,5
2022,6.347494687,1,11,1,0,0,0,0,0,1,1.0,0,3,3,3,6.347494687,1,11,1,2,,,,1,1,3,3,3,3
2022,4.764589392,1,11,1,0,0,0,0,0,1,1.0,0,4,3,4,4.764589392,1,11,1,2,,,,1,1,2,4,4,3
2022,4.764589392,1,11,1,0,0,0,0,0,1,1.0,0,4,4,4,4.764589392,1,11,1,2,,,,1,1,2,4,4,4
2022,4.764589392,1,11,1,0,0,0,0,0,1,1.0,0,4,4,4,4.764589392,1,11,1,2,,,,1,1,2,4,4,4
2022,4.764589392,1,11,1,0,0,0,0,0,1,1.0,0,4,4,4,4.764589392,1,11,1,2,,,,1,1,2,4,4,4
2022,4.764589392,1,11,1,0,0,0,0,0,1,1.0,0,4,3,3,4.764589392,1,11,1,2,,,,1,1,2,4,3,3
2022,6.256384908,1,11,1,0,0,0,0,0,1,1.0,0,4,3,4,6.256384908,1,11,1,2,,,,1,1,2,4,4,3
2022,4.764589392,1,11,1,0,0,0,0,0,1,1.0,0,4,3,3,4.764589392,1,11,1,2,,,,1,1,2,4,3,3
2022,6.256384908,1,11,1,0,0,0,0,0,1,1.0,0,4,4,3,6.256384908,1,11,1,2,,,,1,1,2,4,3,4
2022,4.764589392,1,11,1,0,0,0,0,0,1,1.0,0,4,4,3,4.764589392,1,11,1,2,,,,1,1,2,4,3,4
2022,4.764589392,1,11,1,0,0,0,0,0,1,1.0,0,3,2,3,4.764589392,1,11,1,2,,,,1,1,2,3,3,2
2022,4.764589392,1,11,1,0,0,0,0,0,1,1.0,0,4,3,3,4.764589392,1,11,1,2,,,,1,1,2,4,3,3
2022,4.764589392,1,11,1,0,0,0,0,0,1,1.0,0,4,3,3,4.764589392,1,11,1,2,,,,1,1,3,4,3,3
2022,4.764589392,1,11,1,0,0,0,0,0,1,1.0,0,3,3,3,4.764589392,1,11,1,2,,,,1,1,2,3,3,3
2022,4.764589392,1,11,1,0,0,0,0,0,1,1.0,0,4,3,3,4.764589392,1,11,1,2,,,,1,1,3,4,3,3
2022,6.256384908,1,11,1,0,0,0,0,0,1,1.0,0,4,3,4,6.256384908,1,11,1,2,,,,1,1,2,4,4,3
2022,4.764589392,1,11,1,0,0,0,0,0,1,1.0,0,4,3,3,4.764589392,1,11,1,2,,,,1,1,3,4,3,3
2022,4.764589392,1,11,1,0,0,0,0,0,1,1.0,0,4,3,4,4.764589392,1,11,1,2,,,,1,1,2,4,4,3
2022,4.764589392,1,11,1,0,0,0,0,0,1,1.0,0,4,3,4,4.764589392,1,11,1,2,,,,1,1,2,4,4,3
2022,4.764589392,1,11,1,0,0,0,0,0,1,1.0,0,4,2,4,4.764589392,1,11,1,2,,,,1,1,2,4,4,2
2022,4.764589392,1,11,1,0,0,0,0,0,1,1.0,0,3,3,3,4.764589392,1,11,1,2,,,,1,1,2,3,3,3
2022,6.256384908,1,11,1,0,0,0,0,0,1,1.0,0,4,4,5,6.256384908,1,11,1,2,,,,1,1,2,4,5,4
2022,4.764589392,1,11,1,0,0,0,0,0,1,1.0,0,4,3,3,4.764589392,1,11,1,2,,,,1,1,2,4,3,3
2022,4.764589392,1,11,1,0,0,0,0,0,1,1.0,0,4,3,3,4.764589392,1,11,1,2,,,,1,1,2,4,3,3
2022,4.764589392,1,11,1,0,0,0,0,0,1,1.0,0,4,4,4,4.764589392,1,11,1,2,,,,1,1,2,4,4,4
2022,4.764589392,1,11,1,0,0,0,0,0,1,1.0,0,3,3,3,4.764589392,1,11,1,2,,,,1,1,2,3,3,3
2022,4.764589392,1,11,1,0,0,0,0,0,1,1.0,0,3,3,3,4.764589392,1,11,1,2,,,,1,1,2,3,3,3
2022,6.256384908,1,11,1,0,0,0,0,0,1,1.0,0,4,4,4,6.256384908,1,11,1,2,,,,1,1,2,4,4,4
2022,4.764589392,1,11,1,0,0,0,0,0,1,1.0,0,4,4,4,4.764589392,1,11,1,2,,,,1,1,2,4,4,4
2022,4.764589392,1,11,1,0,0,0,0,0,1,1.0,0,4,3,3,4.764589392,1,11,1,2,,,,1,1,2,4,3,3
2022,4.764589392,1,11,1,0,0,0,0,0,1,1.0,0,4,4,4,4.764589392,1,11,1,2,,,,1,1,2,4,4,4
2022,6.256384908,1,11,1,0,0,0,0,0,1,1.0,0,4,4,3,6.256384908,1,11,1,2,,,,1,1,2,4,3,4
2022,4.764589392,1,11,1,0,0,0,0,0,1,1.0,0,4,3,4,4.764589392,1,11,1,2,,,,1,1,2,4,4,3
2022,4.764589392,1,11,1,0,0,0,0,0,1,1.0,0,5,3,4,4.764589392,1,11,1,2,,,,1,1,2,5,4,3
2022,6.284803397,1,11,1,1,0,1,0,2,1,1.0,0,4,4,4,6.284803397,1,11,1,1,0,1,0,1,1,2,4,4,4
2022,4.786231672,1,11,1,0,0,0,0,0,1,1.0,0,4,4,3,4.786231672,1,11,1,2,,,,1,1,3,4,3,4
2022,6.284803397,1,11,1,0,0,0,0,0,1,1.0,0,4,4,4,6.284803397,1,11,1,2,,,,1,1,2,4,4,4
2022,6.284803397,1,11,1,0,0,0,0,0,2,2.0,0,4,3,3,6.284803397,1,11,1,2,,,,2,2,3,4,3,3
2022,6.284803397,1,11,1,0,0,0,0,0,1,1.0,0,3,3,3,6.284803397,1,11,1,2,,,,1,1,3,3,3,3
