AI 활용 범위 그룹,DMI 그룹,N,평균,표준편차,표준오차,95% CI 하한,95% CI 상한
0,Low,4545,3.812,0.736,0.011,3.79,3.833
0,Mid,1869,4.005,0.665,0.015,3.975,4.035
0,High,725,4.101,0.671,0.025,4.052,4.15
1,Low,282,3.557,0.826,0.049,3.46,3.653
1,Mid,527,3.994,0.8,0.035,3.926,4.063
1,High,812,4.24,0.779,0.027,4.187,4.294
2+,Low,411,3.856,0.763,0.038,3.783,3.93
2+,Mid,1023,4.025,0.785,0.025,3.977,4.074
2+,High,2009,4.21,0.795,0.018,4.175,4.244
